Titre;classe_reelle;cote_reelle;cote_predite_reduit_standard;score_reduit_standard;confiance_reduit_standard;cote_predite_reduit_rameau_off;score_reduit_rameau_off;confiance_reduit_rameau_off;cote_predite_reduit_wikidata_off;score_reduit_wikidata_off;confiance_reduit_wikidata_off;cote_predite_reduit_fewshot_off;score_reduit_fewshot_off;confiance_reduit_fewshot_off;cote_predite_reduit_fewshot_elargi;score_reduit_fewshot_elargi;confiance_reduit_fewshot_elargi;cote_predite_complet_standard;score_complet_standard;confiance_complet_standard;cote_predite_complet_rameau_off;score_complet_rameau_off;confiance_complet_rameau_off;cote_predite_complet_wikidata_off;score_complet_wikidata_off;confiance_complet_wikidata_off;cote_predite_complet_fewshot_off;score_complet_fewshot_off;confiance_complet_fewshot_off;cote_predite_complet_fewshot_elargi;score_complet_fewshot_elargi;confiance_complet_fewshot_elargi;wikidata_qid;wikidata_occupation;wikidata_resume
"Costume illustration : the nineteenth century / Victoria and Albert Museum ; introduction by James L";AM;AM43.L66 V53.D6 1947;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10.GB;4.0;0.95;AM46-48;4.0;0.95;AM46-55;4.0;0.98;AM46-48;4.0;0.98;AM46-48;4.0;0.98;AM101.V8;0.0;0.95;;;
25 ans d'acquisitions au musée des Augustins (1985-2009) / [Textes de Axel Hémery, Pascal Julien, Ca;AM;AM48.T70 A93 2009;AM111;0.0;0.95;AM111-160;0.0;0.95;AM111;0.0;0.95;AM10-100;4.0;0.95;AM200;0.0;0.95;AM43.T68;4.0;1.0;AM46-55;4.0;0.98;AM43.T68;4.0;0.95;AM43.A-Z;4.0;0.95;AM343;0.0;0.95;;;
De l'impressionnisme à l'art nouveau : acquisitions du Musée d'Orsay, 1990-1996 : [exposition], Pari;AM;AM48.P37 O77.A2 1996;AM111;0.0;0.95;AM10-100;4.0;0.95;AM111;0.0;0.95;AM10-100;4.0;0.95;AM200;0.0;0.95;AM46-48;4.0;0.98;AM101.O;0.0;0.95;AM46-48;4.0;0.98;AM101.O;0.0;0.95;AM46.5;4.0;0.98;;;
Estampes XVIe-XXe siècle de la collection du musée : [exposition, Musée de Valence, 18 décembre 2004;AM;AM48.V33 M87 2004;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM48.V15 E87 2004;4.0;0.98;AM46.5;4.0;0.98;AM46-55;4.0;0.98;AM46.5;4.0;0.95;AM46-48;4.0;0.98;AM46.V12;4.0;0.98;;;
Bretagne est univers : catalogue du Musée de Bretagne / Stephan Hinguant,... Gregor Marchand,... Jea;AM;AM48.R46 B74 2006;AM10-100;4.0;1.0;AM10-100;4.0;0.98;AM10-100;4.0;1.0;AM10-100;4.0;0.95;AM10-100;4.0;1.0;AM349;0.0;1.0;AM349;0.0;0.98;AM43.B7;4.0;1.0;AM43.A-Z;4.0;1.0;AM43.R;4.0;0.95;;;
De Dufy à Chaissac : la peinture moderne au musée des Beaux-Arts de Nantes : [exposition, Nantes, Mu;AM;AM48.N36 B43 2000;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM44.N25 D48 20xx;4.0;0.95;AM46.5;4.0;0.98;AM46.5;4.0;0.98;AM46.5;4.0;0.98;AM46-48;4.0;0.95;AM46.5.N3;4.0;0.98;;;
Musée du Baron-Martin, Gray : catalogue / Félix Davoine, A. P. de Mirimonde;AM;AM48.G73 B37 1993;AM10-100;4.0;1.0;AM10-100;4.0;0.95;AM10-100;4.0;1.0;AM10-100;4.0;0.95;AM364.7.B36;0.0;0.98;AM43.G7;4.0;1.0;AM101.M8;0.0;0.98;AM43.G7;4.0;0.98;AM43.G;4.0;1.0;AM341.5.G73;0.0;0.95;;;
"Musée des beaux-arts de Montréal : guide / [publié par le Musée des beaux-arts de Montréal] ; [sous";AM;AM22.M69 B43 1977;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM200;0.0;0.95;AM311.M6;0.0;0.95;AM101.M6;0.0;1.0;AM311.M6;0.0;0.95;AM311.M6;0.0;1.0;AM311.M7;0.0;0.98;;;
Acquisitions du Cabinet des dessins : 1973-1983 : 81e exposition du Cabinet des dessins, Musée du Lo;AM;AM48.P37 L68.A2 1984;AM111;0.0;0.95;AM10-100;4.0;0.95;AM111;0.0;0.95;AM10-100;4.0;0.95;AM48.P37 L68.D4;4.0;0.95;AM101.L6;0.0;0.98;AM101.A-Z;0.0;0.98;AM101.L6;0.0;0.98;AM46.5;4.0;0.95;AM48.P37 L68.D4;4.0;0.98;;;
"Le musée merveilleux / rédaction Patrick De Rynck ; photographie Karin Borghouts ; coordination Véro";AM;AM56.A58 B43 2022;AM111;0.0;0.95;AM111-160;0.0;0.95;AM111;0.0;0.95;AM111;0.0;0.95;AM111;0.0;0.95;AM348.5;0.0;0.95;AM101.A-Z;0.0;0.95;AM348;0.0;0.98;AM349;0.0;0.95;AM56.M73;4.0;0.95;;;
Présentation d'œuvres gallo-romaines : [exposition], Bordeaux, Musée d'Aquitaine, 1964-1965 / [texte;AM;AM48.B64 A68 1964;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM56.F78;4.0;0.98;AM344;0.0;0.98;AM344;0.0;0.95;AM344;0.0;0.95;AM46-48;4.0;1.0;AM354;0.0;0.98;;;
При дворе российских императоров : костюм XVIII--начала XX века в собрании Эрмитажа : каталог выстав;AM;AM61.S10 E76.T7 2014;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM356;0.0;0.98;AM385;0.0;0.98;AM356;0.0;0.98;AM348.5;0.0;0.95;AM356;0.0;0.98;;;
"Costumes de scène à travers les collections du CNCS / Claude Fauque ; préface de Christian Lacroix";AM;AM48.M72 C46 2011;AM10-100;4.0;0.95;AM200;0.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM46-48;4.0;0.95;AM46-55;4.0;0.95;AM46-48;4.0;0.98;AM49;4.0;0.98;AM349;0.0;0.95;;;
"Costume & fashion / Bianca M. du Mortier ; with contributions by Mieke Albers, Sara van Dijk, Maaike";AM;AM59.A51 R55.T7 2016;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM349;0.0;0.95;AM303.5;0.0;0.95;AM349;0.0;0.98;AM349;0.0;1.0;AM349;0.0;0.95;;;
Musée départemental de Flandre, Cassel : catalogus van geselecteerde kunstwerken / [Musée départemen;AM;AM48.C42 F65 2010;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10.F75;4.0;0.95;AM348;0.0;0.95;AM348;0.0;0.98;AM346;0.0;0.95;AM46-48;4.0;0.95;AM57.M66 C37 19XX;4.0;0.95;;;
Louis-Joseph Jay : sa vie, son œuvre : Musée de peinture, Grenoble, 27 janvier-15 mars 1983;AM;AM48.G74 B43 1983;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM48.P37.G73;4.0;0.95;AM46-48;4.0;0.98;AM101.GRE;0.0;0.98;AM46.5;4.0;0.98;AM46-48;4.0;0.95;AM46.P37 G74 1983;4.0;0.95;;;
Le musée des Beaux-Arts de Dijon / Emmanuel Starcky,... Sophie Barthélémy,... Rémi Cariel,... [et qu;AM;AM48.D55 B42 2002;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;1.0;AM10-100;4.0;0.95;AM10.F73;4.0;0.95;AM46.5;4.0;1.0;AM46-48;4.0;0.98;AM46.5;4.0;1.0;AM46.5;4.0;1.0;AM46.5.D5;4.0;0.95;;;
Les vingt ans du Musée à travers sa collection / Musée d'art contemporain de Montréal;AM;AM22.M69 A78 1985;AM10-100;4.0;0.95;AM100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10.1.C2;4.0;0.95;AM307;0.0;0.95;AM311.M66;0.0;0.98;AM307;0.0;0.95;AM348.5;0.0;0.95;AM313;0.0;0.95;;;
Peintures flamandes, hollandaises et allemandes du musée Calvet, Avignon : [exposition, Avignon, mus;AM;AM48.A95 C35 2006;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;1.0;AM48.V3 A95;4.0;0.98;AM46-48;4.0;1.0;AM46-48;4.0;1.0;AM46-48;4.0;1.0;AM46-48;4.0;0.95;AM46.5.A9;4.0;0.95;;;
20 ans : les acquisitions du musée du quai Branly - Jacques Chirac : [exposition, Paris, Musée du qu;AM;AM48.P37 Q35 2019;AM200;0.0;0.95;AM10-100;4.0;0.95;AM200;0.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM77-78;4.0;0.95;AM301.5;0.0;0.98;AM301.5;0.0;0.95;AM101.A-Z;0.0;0.95;AM301.A-Z;0.0;0.95;;;
Monet : chefs-d'oeuvre du musée Marmottan Monet : [exposition, Bordeaux, Musée Mer Marine, 15 juin-2;AM;AM48.P37 M39 2018;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-FRANCE;4.0;0.95;AM48.P37.M37;4.0;0.95;AM46.5;4.0;0.95;AM46.5.B67;4.0;0.98;AM46.5;4.0;0.98;AM46-48;4.0;0.95;AM48.P37 M68;4.0;0.95;;;
"Du yodel à la physique quantique = From yodeling to quantum physics . Prestige / [Palais de Tokyo] ;";AM;AM48.P37 P25 2007-;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM111-160;0.0;0.95;AM10-100;4.0;0.95;AM111;0.0;0.95;AM3.5;0.0;0.95;AM101.P35;0.0;0.95;AM3.5;0.0;0.95;AM3.5;0.0;0.95;AM3.5;0.0;0.95;;;
Peintures italiennes du XVIIIe siècle du musée du Louvre / Musée du Louvre, Département des peinture;AM;AM48.P37 L68.P1 2017;AM10-100;4.0;0.95;AM10-100;4.0;1.0;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM48.P37;4.0;1.0;AM54;4.0;1.0;AM54-55;4.0;1.0;AM54;4.0;1.0;AM54;4.0;1.0;AM48.P37 L68.P1;4.0;0.98;;;
Catalogue raisonné des objets en bois provenant de Dunhuang et conservés au Musée Guimet / par Franç;AM;AM48.P37 G85 1976;AM10-100;4.0;0.95;AM200;0.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10.FR G83;4.0;0.95;AM380;0.0;0.95;AM380;0.0;0.98;AM380;0.0;0.95;AM380;0.0;0.95;AM78.T64 G85 19XX;4.0;0.95;;;
Dessins allemands et flamands du Musée Condé à Chantilly : de Dürer à Rubens / [exposition], Château;AM;AM48.C53 C66 1999;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM48.C66 C63 20xx;4.0;0.95;AM46-48;4.0;0.98;AM46-48;4.0;0.98;AM46-48;4.0;0.95;AM46-48;4.0;0.95;AM48.M66 C63 20xx;4.0;0.95;;;
"Buying Baroque : Italian seventeenth-century paintings come to America : [symposium ""Going for Baroq";AM;AM303.6.A1 BOWR 2017;AM200;4.0;0.95;AM200;4.0;0.95;AM200;4.0;0.95;AM200;4.0;0.95;AM200;4.0;0.95;AM305;4.0;0.95;AM21;0.0;0.95;AM305;4.0;0.95;AM305;4.0;0.95;AM223;4.0;0.95;;;
Disegno 2 : retour sur le catalogue des dessins italiens du musée des Beaux-Arts de Rennes : [exposi;AM;AM48.R46 B43 1990;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM48.F75 D57 2016;4.0;0.95;AM349;0.0;0.95;AM46-55;4.0;0.98;AM349;0.0;0.95;AM349;0.0;1.0;AM48.P37 L68.P1;4.0;0.95;;;
Acquisitions, dons & restaurations : Musée des beaux-arts de Dunkerque, 18 octobre 1983-8 janvier 19;AM;AM48.D86 B43 1983;AM10-100;4.0;0.95;AM200;0.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM200;0.0;0.95;AM343;0.0;0.95;AM43.DUN;4.0;0.98;AM43.DUN;4.0;0.95;AM43.DUN;4.0;0.95;AM43.D86;4.0;0.98;;;
Le Musée provençal du costume et du bijou : collection d'une provençale passionnée, Hélène Costa / [;AM;AM48.G72 C46 2017;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM200;0.0;0.95;AM349;0.0;0.98;AM43.A-Z;4.0;0.95;AM349;0.0;0.98;AM349;0.0;1.0;AM135;0.0;0.95;;;
"Les collections archéologiques du Musée de Picardie, Amiens / Musée de Picardie ; [préface Dominique";AM;AM48.A51 P53 1990;AM10-100;4.0;0.95;AM200;0.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM48.A55 C65 20xx;4.0;0.95;AM349;0.0;0.95;AM311.AMI;0.0;0.95;AM304;0.0;0.95;AM101.A;0.0;0.95;AM48.L57 M87 20XX;4.0;0.95;;;
[Musée des beaux-arts du Canada] Guide / Suzanne Lacasse;AM;AM22.O89 N38 1988;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-CAN;4.0;0.95;AM200;0.0;0.95;AM311.A-Z;0.0;0.95;AM348.2;0.0;0.95;AM313;0.0;1.0;AM101.A-Z;0.0;0.95;AM201;0.0;1.0;;;
Римский портрет : Коллекция Государственного Эрмитажа / Авт. вступ. статьи и каталога, сост. альбома;AM;AM61.S10 E76.G8 1974;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10.R8;4.0;0.98;AM348.5;0.0;0.95;AM46-48;4.0;1.0;AM348.5;0.0;0.95;AM348.5;0.0;0.95;AM356;0.0;0.98;;;
The velvets : in the Collection of the Costume Gallery in Florence = I velluti : nella collezione de;AM;AM55.F56 P46 2017;AM10-100;4.0;0.95;AM200;0.0;0.95;AM10-100;4.0;0.95;AM10-100;4.0;0.95;AM10.IT;4.0;0.95;AM54;4.0;1.0;AM54-55;4.0;1.0;AM54;4.0;0.98;AM46-48;4.0;0.95;AM46.5;4.0;0.95;;;
Le rythme : XVIIIes Entretiens de la Garenne Lemot / sous la direction de Jackie Pigeaud;BH;BH301.R5 RYTH 2014;BH301;4.0;0.95;BH81-208;0.0;0.98;BH301;4.0;0.95;BH1-301;0.0;0.95;BH81-208;0.0;0.95;BH81-208;0.0;0.95;BH81-208;0.0;0.95;BH81-208;0.0;0.95;BH81-208;0.0;0.95;BH81-208;0.0;0.95;;;
La création vagabonde / textes de Etienne Baulieu, Pierre Berès, Dominique Bernard, Jean Bernard [et;BH;BH301.C84 CREA 1986;BH301;4.0;0.95;BH81-208;0.0;0.95;BH81-208;0.0;0.95;BH301;4.0;0.95;BH301;4.0;0.95;BH81-208;0.0;0.95;BH81-208;0.0;0.95;BH81-208;0.0;0.95;BH81-208;0.0;0.95;BH81-208;0.0;0.95;;;
Disaster archaeology / by Richard A. Gould;CC;CC79.5.H85 GOUL 2007;CC1-960;0.0;0.95;CC1-960;0.0;1.0;CC1-960;0.0;0.95;CC1;0.0;0.95;CC1-960;0.0;1.0;CC73-81;4.0;0.95;CC1-960;0.0;1.0;CC73-81;4.0;0.95;CC73-81;4.0;0.95;CC140;0.0;0.95;;;
Methods of physical examination in archaeology / M. S. Tite,...;CC;CC79.A73 TITE 1972;CC73-81;4.0;0.95;CC73-81;4.0;0.95;CC73-81;4.0;1.0;CC73-81;4.0;1.0;CC73-81;4.0;1.0;CC73-81;4.0;1.0;CC73-81;4.0;0.95;CC73-81;4.0;1.0;CC73;4.0;1.0;CC73-81;4.0;1.0;;;
Proceedings of the twelfth annual conference of the British Association for Biological Anthropology;CC;CC79.5.H85 BRIT 2012;CC1-960;0.0;1.0;CC83-97;0.0;0.95;CC1-960;0.0;1.0;CC1-960;0.0;0.95;CC1-960;0.0;1.0;CC1-960;0.0;0.95;CC72-81;3.96;0.95;CC1-960;0.0;0.95;CC1-960;0.0;0.95;CC1-960;0.0;0.95;;;
Archéologie et droit de l'urbanisme en Europe / sous la direction de Yves Jégouzo,... Pierre-Laurent;CC;CC130 ARCH 1995;CC1-960;4.0;0.95;CC1-960;4.0;0.98;CC1-960;4.0;0.95;CC83-97;0.0;0.95;CC83-97;0.0;0.95;CC1-960;4.0;0.98;CC1-960;4.0;0.98;CC1-960;4.0;0.95;CC83-97;0.0;0.95;CC72-81;0.0;0.95;;;
Les sanctuaires celtiques et leurs rapports avec le monde méditerranéen : actes du colloque de Saint;D;D70 SANC 1991;D51-90;4.0;0.95;D151-173;0.0;0.95;D51-90;4.0;0.95;D51-90;4.0;0.95;D51-90;4.0;0.95;D51-90;4.0;0.95;D111-203;0.0;0.9;D51-90;4.0;0.95;D51-90;4.0;0.95;D51-90;4.0;0.95;;;
Rapports à l'Empereur sur le progrès des sciences, des lettres et des arts depuis 1789 . 4 . Histoir;D;D13.RAPPORT IV. 1989 (CTLES - 2028);D299-(475);0.0;0.98;D299-(475);0.0;0.98;D299-(475);0.0;0.95;D299-(475);0.0;0.98;D284-297;0.0;0.95;D301-309;0.0;0.95;D301-309;0.0;0.95;D301-309;0.0;0.95;D301-309;0.0;0.95;D301-309;0.0;0.95;;;
Philologie et herméneutique au 19e siècle / aus dem Förderungsbereich Grundlagen der geiteswissensch;D;D13.PHIL 1983. VOL. 2;D351-400;0.0;0.95;D351-400;0.0;0.95;D351-400;0.0;0.95;D351-400;0.0;0.95;D351-400;0.0;0.95;D385-393;0.0;0.9;D351-400;0.0;0.95;D385-393;0.0;0.9;D394-400;0.0;0.95;D385-393;0.0;0.85;;;
Philologie und Hermeneutik im 19. [i.e. neunzehnten] Jahrhundert : zur Geschichte und Methodologie d;D;D13.PHIL 1979. VOL. 1.GER;D351-400;0.0;0.95;D351-400;0.0;0.95;D351-400;0.0;0.95;D351-400;0.0;0.95;D351-400;0.0;0.95;D351-400;0.0;0.95;D385-393;0.0;0.95;D351-400;0.0;0.95;D351-400;0.0;0.95;D351-400;0.0;0.95;;;
"La couleur, les couleurs / XIes Entretiens de La Garenne-Lemot ; sous la direction de Jackie Pigeaud";GN;GN23.PIGE 2007;GN451-477.7;0.0;0.95;GN451-477.7;0.0;0.95;GN451-477.7;0.0;0.95;GN451-477.7;0.0;0.95;GN451-477.7;0.0;0.95;GN357-367;0.0;0.95;GN406-517;0.0;0.95;GN357-367;0.0;0.9;GN357-367;0.0;0.95;GN357-367;0.0;0.95;;;
Les installations agricoles de l'âge du fer en Ile-de-France : actes du colloque de Paris, [19-20 ju;GN;GN799.A4 INST 1994;GN700-890;4.0;0.95;GN700-890;4.0;0.95;GN700-890;4.0;0.95;GN700-890;4.0;0.95;GN700-890;4.0;0.95;GN700-890;4.0;0.9;GN700-890;4.0;0.95;GN700-890;4.0;0.9;GN700-890;4.0;0.95;GN700-890;4.0;0.9;;;
Art + religion in the 21st century / Aaron Rosen;N;N72.R4 ROSE 2015;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N8001 ART;0.0;0.95;N8001 RELI;0.0;0.98;N8001 ART;0.0;0.95;N7430.5;0.0;0.95;N72.R4;4.0;0.98;;;
Winckelmann and the Vatican's first profane Museum / Louis A. Rupreche, Jr.;N;N7483.W5 RUPR 2011;N5300-7418;0.0;0.95;N4390-5098;0.0;0.95;N5300-7418;0.0;0.95;N5300-5399;0.0;0.95;N5300-7418;0.0;0.95;N2945.5;0.0;0.95;N2945;0.0;0.98;N2945.5;0.0;0.95;N2945.5;0.0;0.98;N8040;0.0;0.95;;;
"""Avoir une âme pour les pierres"" : arts, sciences et minéralité : du tournant des Lumières au crépus";N;N8237.8.R6 GLAU 2024;N7560-8266;4.0;0.95;N7480;0.0;0.95;N7560 MINE 20XX;4.0;0.95;N7560-8266;4.0;0.95;N72;0.0;0.95;N7560;4.0;0.95;N7429;0.0;0.98;N7560;4.0;0.95;N7429.3;0.0;0.95;N72.L5 MINÉ;0.0;0.95;;;
La notion d'artiste chez les Goncourt (1852-1870) / Stéphanie Champeau;N;N72.L55 GONC 2000;N7560-8266;0.0;0.95;N8352;0.0;0.95;N7560-8266;0.0;0.95;N8350-8356;0.0;0.95;N7560-8266;0.0;0.95;N7429.7;0.0;0.95;N7425.3;0.0;0.98;N7429.3;0.0;0.95;N7429.3;0.0;0.95;N7429.3;0.0;0.95;;;
"Baroque et classicisme / José Luis Morales y Marín,... ; traduit de l'espagnol par Laurent Gonzalez";N;N6415.B3 MORA 1992;N7560-8266;0.0;0.95;N7480;0.0;0.95;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N6415-7266;4.0;0.95;N6494.A-Z;4.0;0.95;N68.6;0.0;1.0;N6447.5;4.0;0.98;N6447.5;4.0;1.0;"```json
{
  ""sous_classe"": ""N6415.B3 MORA 20XX"",  // À adapter avec l'année exacte du document (ex: N6415.B3 MORA 2015)
  ""confiance"": 0.98
}
```";0.0;0.7;;;
Comment la littérature pense les objets : théorie littéraire de la culture matérielle / Marta Caraio;N;N72.L5 CARA 2020;N7560;0.0;0.95;N7560-8266;0.0;0.95;N7480;0.0;0.95;N7560-8266;0.0;0.95;N72.L5;4.0;0.95;N7429;0.0;0.95;N7429;0.0;0.98;N7429;0.0;0.95;N7429.7;0.0;0.95;N72.L5 CARA 2023;4.0;0.98;;;
La montagne et ses images : du peintre d'Akrésilas à Thomas Cole : actes du 116e Congrès national de;N;N8213 CONG 1991;N8237;4.0;0.95;N7560-8266;4.0;0.95;N8237;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N8241 MONT 20XX;4.0;0.98;N8241;4.0;0.98;N8241 MONT 20XX;4.0;0.98;N7560;4.0;0.98;N8241;4.0;0.95;;;
Southern Baroque revisited / Sacheverell Sitwell;N;N6415.B3 SITW 1967;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N6415.B3;4.0;0.95;N6447.5;4.0;0.95;N6494.B27;4.0;0.98;N6447.5;4.0;0.98;N6447.5;4.0;0.95;N6415.B3 SIT 19XX;4.0;0.95;;;
